Gender;Country;PersonalCare;Sleep;Eating;Study;HouseholdCare;Cooking;Dishwashing;Cleaning dwelling;Ironing;Construction;Shopping;TV
Males;Belgium;645;495;109;11;148;22;10;8;1;19;24;155
Males;Bulgaria;714;548;127;3;157;15;5;6;0;16;13;161
Males;Germany;640;488;103;15;142;16;8;11;1;19;29;118
Males;Estonia;635;504;79;6;153;21;6;9;0;29;20;149
Males;Spain;671;516;107;18;97;19;4;7;0;6;19;120
Males;France;704;525;138;15;144;16;8;11;1;32;30;128
Males;Italy;676;497;117;11;95;11;5;9;0;6;22;112
Males;Latvia;646;515;93;9;110;16;4;6;0;17;12;138
Males;Lithuania;653;508;92;9;129;20;4;10;0;17;13;156
Males;Poland;644;501;93;14;142;25;6;9;1;19;21;154
Males;Slovenia;631;498;93;15;158;16;4;8;0;24;16;132
Males;Finland;623;502;83;13;136;21;4;8;0;21;26;145
Males;United Kingdom;622;498;84;8;138;26;9;11;2;17;24;157
Males;Norway;606;476;85;12;141;25;8;14;0;23;21;126
Females;Belgium;671;514;110;16;250;57;20;26;19;4;33;133
Females;Bulgaria;698;547;115;6;301;97;36;31;6;2;16;134
Females;Germany;658;495;106;13;254;49;21;39;10;3;38;100
Females;Estonia;630;506;72;7;293;79;25;34;7;3;29;126
Females;Spain;665;512;104;20;295;80;29;50;12;1;35;106
Females;France;713;535;131;14;274;61;25;58;15;4;41;115
Females;Italy;672;499;112;14;320;79;35;84;20;1;36;89
Females;Latvia;653;524;86;12;236;66;22;27;3;1;21;115
Females;Lithuania;656;515;86;10;269;78;22;38;4;2;21;119
Females;Poland;663;515;94;14;285;90;29;34;7;2;30;123
Females;Slovenia;632;505;86;19;296;84;28;39;16;2;21;104
Females;Finland;638;512;79;16;236;55;15;26;5;4;32;122
Females;United Kingdom;643;507;86;9;255;59;18;38;11;4;39;129
Females;Norway;627;490;80;15;227;51;21;33;4;4;27;99
