"","education","income","women","prestige","census","type","income_category"
"accountants",12.77,9271,15.7,63.4,1171,"prof","B"
"purchasing.officers",11.42,8865,9.11,56.8,1175,"prof","B"
"chemists",14.62,8403,11.68,73.5,2111,"prof","B"
"biologists",15.09,8258,25.65,72.6,2133,"prof","B"
"surveyors",12.39,5902,1.91,62,2161,"prof","B"
"draughtsmen",12.3,7059,7.83,60,2163,"prof","B"
"computer.programers",13.83,8425,15.33,53.8,2183,"prof","B"
"economists",14.44,8049,57.31,62.2,2311,"prof","B"
"psychologists",14.36,7405,48.28,74.9,2315,"prof","B"
"social.workers",14.21,6336,54.77,55.1,2331,"prof","B"
"librarians",14.15,6112,77.1,58.1,2351,"prof","B"
"vocational.counsellors",15.22,9593,34.89,58.3,2391,"prof","B"
"primary.school.teachers",13.62,5648,83.78,59.6,2731,"prof","B"
"secondary.school.teachers",15.08,8034,46.8,66.1,2733,"prof","B"
"physio.therapsts",13.62,5092,82.66,72.1,3137,"prof","B"
"medical.technicians",12.79,5180,76.04,67.5,3156,"wc","B"
"commercial.artists",11.09,6197,21.03,57.2,3314,"prof","B"
"radio.tv.announcers",12.71,7562,11.15,57.6,3337,"wc","B"
"athletes",11.44,8206,8.13,54.1,3373,NA,"B"
"mail.carriers",9.22,5511,7.62,36.1,4172,"wc","B"
"claim.adjustors",11.13,5052,56.1,51.1,4192,"wc","B"
"travel.clerks",11.43,6259,39.17,35.7,4193,"wc","B"
"sales.supervisors",9.84,7482,17.04,41.5,5130,"wc","B"
"commercial.travellers",11.13,8780,3.16,40.2,5133,"wc","B"
"insurance.agents",11.6,8131,13.09,47.3,5171,"wc","B"
"real.estate.salesmen",11.09,6992,24.44,47.1,5172,"wc","B"
"buyers",11.03,7956,23.88,51.1,5191,"wc","B"
"firefighters",9.47,8895,0,43.5,6111,"bc","B"
"policemen",10.93,8891,1.65,51.6,6112,"bc","B"
"funeral.directors",10.57,7869,6.01,54.9,6141,"bc","B"
"rotary.well.drillers",8.88,6860,0,35.3,7711,"bc","B"
"slaughterers.1",7.64,5134,17.26,25.2,8215,"bc","B"
"slaughterers.2",7.64,5134,17.26,34.8,8215,"bc","B"
"tool.die.makers",10.09,8043,1.5,42.5,8311,"bc","B"
"machinists",8.81,6686,4.28,44.2,8313,"bc","B"
"sheet.metal.workers",8.4,6565,2.3,35.9,8333,"bc","B"
"welders",7.92,6477,5.17,41.8,8335,"bc","B"
"auto.workers",8.43,5811,13.62,35.9,8513,"bc","B"
"aircraft.workers",8.78,6573,5.78,43.7,8515,"bc","B"
"radio.tv.repairmen",10.29,5449,2.92,37.2,8537,"bc","B"
"auto.repairmen",8.1,5795,0.81,38.1,8581,"bc","B"
"aircraft.repairmen",10.1,7716,0.78,50.3,8582,"bc","B"
"electrical.linemen",9.05,8316,1.34,40.9,8731,"bc","B"
"electricians",9.93,7147,0.99,50.2,8733,"bc","B"
"construction.foremen",8.24,8880,0.65,51.1,8780,"bc","B"
"carpenters",6.92,5299,0.56,38.9,8781,"bc","B"
"masons",6.6,5959,0.52,36.2,8782,"bc","B"
"plumbers",8.33,6928,0.61,42.9,8791,"bc","B"
"train.engineers",8.49,8845,0,48.9,9131,"bc","B"
"bus.drivers",7.58,5562,9.47,35.9,9171,"bc","B"
"typesetters",10,6462,13.58,42.2,9511,"bc","B"
